Year,Property,Fed Equity Factor,State Equity Factor
2003,Adamsville Place Apartments,0.8,0.2
2003,Kings Ridge Senior Apartments,0.78921,0.25974
2003,Westover Place Apartments,0.75,0.25
2003,Heron Lake Apartments,0.79,0.26
2003,Saddle Club Apartments,0.795,0.26
2003,East Oaks Apartments,0.742,0.24
2003,Valley Ridge Apartments,0.77,0.26
2003,The Verandah Apartments,0.759,0.26
2003,Jack Allen Apartments,0.78,0.25
2003,The Oaks of Adairsville,0.8,0.2
2003,Bailey Heights Apartments,0.77906,0.24991
2003,Lane's Crossing,0.79,0.21
2003,Kirkwood Gardens,0.75,0.24
2003,Robins Trace Apartments,0.77922,0.24975
2003,Pittsburgh Phase I,0.77922,0.24975
2003,"JT Rolling Oaks, LP",0.75,0.25
2003,"JT Oakview, LP",0.75,0.25
2003,Fourth Street Village,0.8,0.25
2003,Trinity Towers,0.76,0.2
2003,Tattnall Place,0.79,0.25
2003,The Vineyards of Grovetown,0.8,0.25
2003,Columbia Manor Senior Residences,0.8,0.25
2003,Columbia Senior Residences at MLK Village,0.8,0.25
2003,Columbia Crest Apartments,0.8,0.25
2003,Columbia at Sylvan Hills Apartments,0.77,0.25
2003,"Howell Mill Development, L.P.",0.77,0.25
2003,"Montdele Development, L.P.",0.78,0.2
2003,Montgomery Landing Apartments,0.78,0.2
2003,Mineral Springs Apartments,0.8,0.2
2003,Jordan Estates,0.755,0.25
2003,Auburn Ridge,0.755,0.25
2003,Sunset Pointe,0.76,0.25
2003,Veranda Village,0.755,0.25
2003,Starlight Place,0.78,0.2
2003,TimberChase Apartments (a.k.a. Grier Senior Manor),0.78,0.25
2003,Atlantic Station Mixed-Income,0.7722008,0.2475
2003,Princeton Court Senior Residences,0.77,0.23
2003,Heritage Corner and Heritage Row Apartments,0.8,0.25
2003,Heritage Gardens,0.8,0.25
2003,Poplar Grove Apartments,0.75,0.2
2003,Antioch Manor Estates - Phase I,0.78,0.23
2003,"Ashton Statesboro, LP",0.78,0.23
2003,"Ashton Calhoun, LP",0.75,0.2
2003,Pecan Hills Apartments,0.78,0.22
2003,Heartland Village Apartments,0.8,0.25
2003,Georgetown Commons,0.77,0.25
2003,Dulles Park,0.77,0.25
2003,Cameron Court,0.77,0.25
2003,Heathrow Senior Village,0.75,0.2
2003,Willowbend Apartments,0.8,0.2
2003,Courtes de Emerald Apartments,0.8,0.25
2003,Forest Heights Apartments,0.78,0.24
2003,Huntington Court Senior Residences,0.8803,0.25
2003,Harris Homes Revitalization Phase II,0.78,0.2
2003,Canterbury Village,0.77,0.24
2003,Moultrie Manor Apartments,0.24,0.77
2003,River Bend Apartments,0.76,0.24
2003,Terrace at Cornerstone,0.77,0.24
2003,Magnolia Senior Manor,0.78,0.25
2003,The Summit at Georgia North,0.78,0.2
2003,Promise Land (Macon),0.8,0.2
2004,Adamsville Place Apartments,0.8,0.25
2004,Hunter's Glen Apartments,0.75,0.2
2004,Timberwood Apartments,0.75,0.2
2004,Azalea Villas Apartments,0.75,0.2
2004,Heritage Square Elderly Apartments,0.75,0.2
2004,The Groves Apartments,0.77,0.25
2004,Emerald Pointe Apartments,0.77,0.25
2004,Kirby Creek Apartments,0.78,0.2
2004,Rebecca's Point,0.8,0.2
2004,River Bend Apartments,0.789108543,0.2
2004,Moultrie Manor Apartments,0.789308285,0.2
2004,"Ashton Riverside, LP",0.79,0.25
2004,"Ashton Statesboro, LP",0.79,0.25
2004,"Ashton Calhoun, LP",0.79,0.25
